Serial Number,Title,Publication Year,Author/Organization,Link,PDF Title,"Review (1 = Updated on sheet, 2 = Found on Drive but not on sheet; 3 = Did not find on Drive)"
1,A focus theory of normative conduct: Recycling the concept of norms to reduce littering in public places,2016,"Robert B. Cialdini, Raymond R. Reno, Carl A. Kallgren",https://psycnet.apa.org/record/1990-30919-001,A Focus Theory of Normative Conduct Recycling the Concept,
2,A guide to using the Theoretical Domains Framework of behaviour change to investigate implementation problems,2017,"Lou Atkins, Jill Francis, Rafat Islam, Denise O’Connor, Andrea Patey, Noah Ivers, Robbie Foy, Eilidh M. Duncan, Heather Colquhoun, Jeremy M. Grimshaw, Rebecca Lawton, Susan Michie",https://openaccess.city.ac.uk/id/eprint/18814/1/s13012-017-0605-9.pdf,A guide to using the Theoretical Domains Framework of behaviour change to investigate implementation problems,
3,A room with a viewpoint: Using social norms to motivate environmental conservation in hotels,2008,"Noah J. Goldstein, Robert B. Cialdini, Vladas Griskevicius",https://academic.oup.com/jcr/article-abstract/35/3/472/1856257?redirectedFrom=fulltext,Goldstein20et20al20JCR,
4,A test of financial incentives to improve warfarin adherence,2008,"Kevin G Volpp, George Loewenstein, Andrea B Troxel, Jalpa Doshi, Maureen Price, Mitchell Laskin, Stephen E Kimmel ",https://bmchealthservres.biomedcentral.com/articles/10.1186/1472-6963-8-272,A test of financial incentives to improve warfarin adherence,
5,Applying Behavioural Insights to Organ Donation: preliminary results from a  randomised controlled trial,2013,UK Cabinet Office,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/267100/Applying_Behavioural_Insights_to_Organ_Donation.pdf,Applying_Behavioural_Insights_to_Organ_Donation,
6,Aspiring Indians,2019,Dalberg,https://dalberg.com/wp-content/uploads/2019/02/AI-1-2_LR_combined-cover.pdf,Aspiring Indians_Designing the next generation og financial solutions,
7,"BCT Taxonomy (v1): 93 hierarchically-clustered techniques",2013,"Susan Michie, Michelle Richardson, Marie Johnston, Charles Abraham, Jill Francis, Wendy Hardeman, Martin P Eccles, James Cane, Caroline E Wood",https://digitalwellbeing.org/wp-content/uploads/2016/11/BCTTv1_PDF_version.pdf,BCTTv1_PDF_version,
8,Behavioural Insights at the United Nations – Achieving Agenda 2030,2016,UNDP,https://www.undp.org/publications/behavioural-insights-united-nations-achieving-agenda-2030,Behavioral Insights at the UN,
9,Behaviour Change Communication Guidance Framework Document,2022,UNDP,https://www.undp.org/sites/g/files/zskgke326/files/2023-03/Behavioural%20Change%20Communication-Guidance%20Framework%20%20Doument-%20Final%202023.pdf,Behaviour Change Communication Guidance Framework,
10,Behavioural Directions for Improving Iron & Folic Acid Tablet Uptake and Consumption in Uttar Pradesh,2022,CSBC,https://csbc.org.in/images/White-paper-UP-BIU.pdf,Behavioural Directions for Improving Iron & Folic Acid Tablet Uptake and Consumption in Uttar Pradesh,
